Year,SDG Series,Sex,Age,Unit of measure,Value
2007,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",89.3
2008,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",88.1
2009,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",85.0
2010,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",80.3
2011,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",74.9
2012,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",66.6
2013,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",60.8
2014,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",57.4
2015,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",56.1
2016,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",53.5
2017,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",51.9
2018,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",49.8
2019,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",49.3
2020,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",49.0
2000,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",101.8
2001,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",99.9
2002,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",98.7
2003,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",97.7
2004,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",98.4
2005,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",99.1
2006,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",101.1
2007,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",101.8
2008,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",100.5
2009,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",97.2
2010,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",92.1
2011,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",86.3
2012,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",77.4
2013,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",71.4
2014,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",67.8
2015,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",66.3
2016,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",63.6
2017,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",61.9
2018,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",59.6
2019,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",58.9
2020,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",58.5
2000,Under-five deaths (number) [3.2.1],,under 5 years old,Number,35389.0
2001,Under-five deaths (number) [3.2.1],,under 5 years old,Number,34969.0
2002,Under-five deaths (number) [3.2.1],,under 5 years old,Number,34884.0
2003,Under-five deaths (number) [3.2.1],,under 5 years old,Number,34954.0
2004,Under-five deaths (number) [3.2.1],,under 5 years old,Number,35827.0
2005,Under-five deaths (number) [3.2.1],,under 5 years old,Number,36797.0
2006,Under-five deaths (number) [3.2.1],,under 5 years old,Number,38398.0
2007,Under-five deaths (number) [3.2.1],,under 5 years old,Number,39658.0
2008,Under-five deaths (number) [3.2.1],,under 5 years old,Number,40138.0
2009,Under-five deaths (number) [3.2.1],,under 5 years old,Number,39804.0
2010,Under-five deaths (number) [3.2.1],,under 5 years old,Number,38616.0
2011,Under-five deaths (number) [3.2.1],,under 5 years old,Number,36899.0
2012,Under-five deaths (number) [3.2.1],,under 5 years old,Number,33485.0
2013,Under-five deaths (number) [3.2.1],,under 5 years old,Number,31096.0
2014,Under-five deaths (number) [3.2.1],,under 5 years old,Number,29507.0
2015,Under-five deaths (number) [3.2.1],,under 5 years old,Number,28708.0
2016,Under-five deaths (number) [3.2.1],,under 5 years old,Number,27195.0
2017,Under-five deaths (number) [3.2.1],,under 5 years old,Number,26069.0
2018,Under-five deaths (number) [3.2.1],,under 5 years old,Number,24648.0
2019,Under-five deaths (number) [3.2.1],,under 5 years old,Number,24006.0
2020,Under-five deaths (number) [3.2.1],,under 5 years old,Number,23533.0
2000,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16260.0
2001,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16080.0
2002,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16054.0
2003,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16092.0
2004,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16514.0
2005,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16986.0
2006,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,17729.0
2007,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,18319.0
2008,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,18535.0
2009,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,18361.0
2010,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,17790.0
2011,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,16958.0
2012,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,15325.0
2013,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,14155.0
2014,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,13398.0
2015,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,13022.0
2016,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,12311.0
2017,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,11780.0
2018,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,11120.0
2019,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,10834.0
2020,Under-five deaths (number) [3.2.1],Female,under 5 years old,Number,10621.0
2000,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,19129.0
2001,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,18889.0
2002,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,18830.0
2003,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,18862.0
2004,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,19313.0
2005,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,19811.0
2006,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,20669.0
2007,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,21339.0
2008,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,21603.0
2009,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,21443.0
2010,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,20826.0
2011,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,19941.0
2012,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,18160.0
2013,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,16941.0
2014,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,16109.0
2015,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,15686.0
2016,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,14884.0
2017,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,14289.0
2018,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,13528.0
2019,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,13172.0
2020,Under-five deaths (number) [3.2.1],Male,under 5 years old,Number,12912.0
