Year,NATURE,Sex,Degree of urbanisation,Composite breakdown,Disability status,Nature of data points,Value
2019,E,,Rural,Grounds of discrimination: Sex,,Estimated,5.05
2019,E,,Rural,Grounds of discrimination: Born out of wedlock,,Estimated,3.5
2019,E,,Urban,,,Estimated,23.45
2019,E,,Urban,Grounds of discrimination: Age,,Estimated,4.75
2019,E,,Urban,Grounds of discrimination: Disability,,Estimated,1.05
2019,E,,Urban,Grounds of discrimination: Ethnic or immigration status,,Estimated,5.8
2019,E,,Urban,Grounds of discrimination: Marital and family status,,Estimated,5.9
2019,E,,Urban,Grounds of discrimination: Other,,Estimated,2.75
2019,E,,Urban,Grounds of discrimination: Political opinion,,Estimated,4.0
2019,E,,Urban,Grounds of discrimination: Religion,,Estimated,5.2
2019,E,,Urban,Grounds of discrimination: Sex,,Estimated,4.6
2019,E,,Urban,Grounds of discrimination: Born out of wedlock,,Estimated,2.0
2019,C,Female,,,,Country Data,25.2
2019,C,Female,,,Persons with disability,Country Data,41.5
2019,C,Female,,,Persons without disability,Country Data,25.6
2019,C,Female,,Grounds of discrimination: Age,,Country Data,3.5
2019,C,Female,,Grounds of discrimination: Age,Persons with disability,Country Data,6.2
2019,C,Female,,Grounds of discrimination: Age,Persons without disability,Country Data,3.4
2019,C,Female,,Grounds of discrimination: Disability,,Country Data,1.0
2019,C,Female,,Grounds of discrimination: Disability,Persons with disability,Country Data,6.4
2019,C,Female,,Grounds of discrimination: Disability,Persons without disability,Country Data,0.7
2019,C,Female,,Grounds of discrimination: Ethnic or immigration status,,Country Data,7.6
2019,C,Female,,Grounds of discrimination: Ethnic or immigration status,Persons with disability,Country Data,13.8
2019,C,Female,,Grounds of discrimination: Ethnic or immigration status,Persons without disability,Country Data,7.7
2019,C,Female,,Grounds of discrimination: Marital and family status,,Country Data,9.6
2019,C,Female,,Grounds of discrimination: Marital and family status,Persons with disability,Country Data,16.6
2019,C,Female,,Grounds of discrimination: Marital and family status,Persons without disability,Country Data,10.4
2019,C,Female,,Grounds of discrimination: Other,,Country Data,3.1
2019,C,Female,,Grounds of discrimination: Other,Persons with disability,Country Data,6.6
2019,C,Female,,Grounds of discrimination: Other,Persons without disability,Country Data,3.0
2019,C,Female,,Grounds of discrimination: Political opinion,,Country Data,2.2
2019,C,Female,,Grounds of discrimination: Political opinion,Persons with disability,Country Data,5.8
2019,C,Female,,Grounds of discrimination: Political opinion,Persons without disability,Country Data,2.2
2019,C,Female,,Grounds of discrimination: Pregnancy,,Country Data,3.3
2019,C,Female,,Grounds of discrimination: Pregnancy,Persons with disability,Country Data,5.8
2019,C,Female,,Grounds of discrimination: Pregnancy,Persons without disability,Country Data,3.3
2019,C,Female,,Grounds of discrimination: Religion,,Country Data,4.9
2019,C,Female,,Grounds of discrimination: Religion,Persons with disability,Country Data,10.0
2019,C,Female,,Grounds of discrimination: Religion,Persons without disability,Country Data,4.8
2019,C,Female,,Grounds of discrimination: Sex,,Country Data,7.1
2019,C,Female,,Grounds of discrimination: Sex,Persons with disability,Country Data,14.0
2019,C,Female,,Grounds of discrimination: Sex,Persons without disability,Country Data,7.3
2019,C,Female,,Grounds of discrimination: Born out of wedlock,,Country Data,3.3
2019,C,Female,,Grounds of discrimination: Born out of wedlock,Persons with disability,Country Data,6.4
2019,C,Female,,Grounds of discrimination: Born out of wedlock,Persons without disability,Country Data,3.1
2019,C,Female,Rural,,,Country Data,26.7
2019,C,Female,Rural,Grounds of discrimination: Age,,Country Data,3.4
2019,C,Female,Rural,Grounds of discrimination: Disability,,Country Data,1.0
2019,C,Female,Rural,Grounds of discrimination: Ethnic or immigration status,,Country Data,8.6
2019,C,Female,Rural,Grounds of discrimination: Marital and family status,,Country Data,10.3
2019,C,Female,Rural,Grounds of discrimination: Other,,Country Data,3.4
2019,C,Female,Rural,Grounds of discrimination: Political opinion,,Country Data,2.6
2019,C,Female,Rural,Grounds of discrimination: Pregnancy,,Country Data,3.7
2019,C,Female,Rural,Grounds of discrimination: Religion,,Country Data,4.6
2019,C,Female,Rural,Grounds of discrimination: Sex,,Country Data,7.6
2019,C,Female,Rural,Grounds of discrimination: Born out of wedlock,,Country Data,3.7
2019,C,Female,Urban,,,Country Data,22.8
2019,C,Female,Urban,Grounds of discrimination: Age,,Country Data,3.7
2019,C,Female,Urban,Grounds of discrimination: Disability,,Country Data,0.9
2019,C,Female,Urban,Grounds of discrimination: Ethnic or immigration status,,Country Data,6.0
2019,C,Female,Urban,Grounds of discrimination: Marital and family status,,Country Data,8.5
2019,C,Female,Urban,Grounds of discrimination: Other,,Country Data,2.6
2019,C,Female,Urban,Grounds of discrimination: Political opinion,,Country Data,1.6
2019,C,Female,Urban,Grounds of discrimination: Pregnancy,,Country Data,2.6
2019,C,Female,Urban,Grounds of discrimination: Religion,,Country Data,5.3
2019,C,Female,Urban,Grounds of discrimination: Sex,,Country Data,6.3
2019,C,Female,Urban,Grounds of discrimination: Born out of wedlock,,Country Data,2.6
2019,C,Male,,,,Country Data,25.9
2019,C,Male,,,Persons with disability,Country Data,55.2
2019,C,Male,,,Persons without disability,Country Data,27.2
2019,C,Male,,Grounds of discrimination: Age,,Country Data,5.4
2019,C,Male,,Grounds of discrimination: Age,Persons with disability,Country Data,4.8
2019,C,Male,,Grounds of discrimination: Age,Persons without disability,Country Data,5.2
2019,C,Male,,Grounds of discrimination: Disability,,Country Data,1.4
2019,C,Male,,Grounds of discrimination: Disability,Persons with disability,Country Data,11.6
2019,C,Male,,Grounds of discrimination: Disability,Persons without disability,Country Data,1.1
2019,C,Male,,Grounds of discrimination: Ethnic or immigration status,,Country Data,6.4
2019,C,Male,,Grounds of discrimination: Ethnic or immigration status,Persons with disability,Country Data,18.8
2019,C,Male,,Grounds of discrimination: Ethnic or immigration status,Persons without disability,Country Data,6.7
2019,C,Male,,Grounds of discrimination: Marital and family status,,Country Data,4.4
2019,C,Male,,Grounds of discrimination: Marital and family status,Persons with disability,Country Data,14.7
2019,C,Male,,Grounds of discrimination: Marital and family status,Persons without disability,Country Data,4.8
2019,C,Male,,Grounds of discrimination: Other,,Country Data,4.2
2019,C,Male,,Grounds of discrimination: Other,Persons with disability,Country Data,13.8
2019,C,Male,,Grounds of discrimination: Other,Persons without disability,Country Data,4.5
2019,C,Male,,Grounds of discrimination: Political opinion,,Country Data,5.3
2019,C,Male,,Grounds of discrimination: Political opinion,Persons with disability,Country Data,12.4
2019,C,Male,,Grounds of discrimination: Political opinion,Persons without disability,Country Data,6.0
2019,C,Male,,Grounds of discrimination: Religion,,Country Data,5.2
2019,C,Male,,Grounds of discrimination: Religion,Persons with disability,Country Data,7.3
2019,C,Male,,Grounds of discrimination: Religion,Persons without disability,Country Data,5.3
2019,C,Male,,Grounds of discrimination: Sex,,Country Data,2.7
2019,C,Male,,Grounds of discrimination: Sex,Persons with disability,Country Data,6.4
2019,C,Male,,Grounds of discrimination: Sex,Persons without disability,Country Data,2.9
2019,C,Male,,Grounds of discrimination: Born out of wedlock,,Country Data,2.6
2019,C,Male,,Grounds of discrimination: Born out of wedlock,Persons with disability,Country Data,8.6
2019,C,Male,,Grounds of discrimination: Born out of wedlock,Persons without disability,Country Data,2.4
2019,C,Male,Rural,,,Country Data,27.0
2019,C,Male,Rural,Grounds of discrimination: Age,,Country Data,5.1
2019,C,Male,Rural,Grounds of discrimination: Disability,,Country Data,1.4
2019,C,Male,Rural,Grounds of discrimination: Ethnic or immigration status,,Country Data,6.8
2019,C,Male,Rural,Grounds of discrimination: Marital and family status,,Country Data,4.9
2019,C,Male,Rural,Grounds of discrimination: Other,,Country Data,4.9
2019,C,Male,Rural,Grounds of discrimination: Political opinion,,Country Data,4.7
2019,C,Male,Rural,Grounds of discrimination: Religion,,Country Data,5.2
2019,C,Male,Rural,Grounds of discrimination: Sex,,Country Data,2.5
2019,C,Male,Rural,Grounds of discrimination: Born out of wedlock,,Country Data,3.3
2019,C,Male,Urban,,,Country Data,24.1
2019,C,Male,Urban,Grounds of discrimination: Age,,Country Data,5.8
2019,C,Male,Urban,Grounds of discrimination: Disability,,Country Data,1.2
2019,C,Male,Urban,Grounds of discrimination: Ethnic or immigration status,,Country Data,5.6
2019,C,Male,Urban,Grounds of discrimination: Marital and family status,,Country Data,3.3
2019,C,Male,Urban,Grounds of discrimination: Other,,Country Data,2.9
2019,C,Male,Urban,Grounds of discrimination: Political opinion,,Country Data,6.4
2019,C,Male,Urban,Grounds of discrimination: Religion,,Country Data,5.1
2019,C,Male,Urban,Grounds of discrimination: Sex,,Country Data,2.9
2019,C,Male,Urban,Grounds of discrimination: Born out of wedlock,,Country Data,1.4
