Value,Disaggregation combinations using this value,Number of indicators
Infant deaths (number) [3.2.1],3,1
Infant mortality rate [3.2.1],3,1
Lake water quality trophic state (%) [6.6.1],4,1
Lake water quality turbidity (%) [6.6.1],4,1
Lakes and rivers permanent water area change (%) [6.6.1],1,1
Lakes and rivers permanent water area (% of total land area) [6.6.1],1,1
Lakes and rivers permanent water area (square kilometres) [6.6.1],1,1
Lakes and rivers seasonal water area change (%) [6.6.1],1,1
Lakes and rivers seasonal water area (% of total land area) [6.6.1],1,1
Lakes and rivers seasonal water area (square kilometres) [6.6.1],1,1
Land area (hectares) [15.1.1],3,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life. [5.1.1]",1,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits. [5.1.1]",1,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family. [5.1.1]",1,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 2: violence against women. [5.1.1]",1,1
"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species (1 = YES, 0 = NO) [15.8.1]",2,1
Manufacturing value added as a proportion of GDP [9.2.1],2,1
Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],1,1
Manufacturing value added per capita [9.2.1],2,1
Merchandise trade as a proportion of GDP (%) [17.13.1],1,1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",15,1
Municipal waste collected (Tonnes) [12.4.2],1,1
"Municipal waste treated, by type of treatment (%) [12.4.2]",6,1
"National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020 (1 = YES, 0 = NO) [15.8.1]",1,1
Neonatal deaths (number) [3.2.2],1,1
Neonatal mortality rate [3.2.2],1,1
Non-fatal occupational injuries among employees (rate) [8.8.1],6,1
"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1,1
"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",5,1
"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",5,1
"Number of commercial bank branches per 100,000 adults [8.10.1]",1,1
Number of damaged critical infrastructure attributed to disasters [11.5.3],1,1
"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",3,3
"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",3,3
Number of deaths attributed to suicide [3.4.2],15,1
"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",3,3
Number of destroyed or damaged educational facilities attributed to disasters [11.5.3],1,1
Number of destroyed or damaged health facilities attributed to disasters [11.5.3],1,1
"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",6,3
Number of disruptions to basic services attributed to disasters [11.5.3],1,1
Number of disruptions to other basic services attributed to disasters [11.5.3],1,1
"Number of local governments [1.5.4, 11.b.2, 13.1.3]",3,3
"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",3,3
Number of other destroyed or damaged critical infrastructure units and facilities attributed to disasters [11.5.3],1,1
"Number of people affected by disaster [1.5.1, 11.5.1, 13.1.1]",6,3
"Number of people whose damaged dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",6,3
"Number of people whose destroyed dwellings were attributed to disasters [1.5.1, 11.5.1, 13.1.1]",6,3
"Number of people whose livelihoods were disrupted or destroyed, attributed to disasters [1.5.1, 11.5.1, 13.1.1]",3,3
"Number of policies, instruments and mechanism in place for sustainable consumption and production [12.1.1]",1,1
Number of seats held by women in national parliaments [5.5.1],3,1
"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",1,1
"Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",1,1
Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],2,1
Number of victims of intentional homicide [16.1.1],3,1
"Number of victims of intentional homicide per 100,000 population [16.1.1]",3,1
Passenger volume (passenger kilometres) [9.1.2],3,1
Plant genetic resources accessions stored ex situ (number) [2.5.1],3,1
Population in moderate or severe food insecurity (number) [2.1.2],18,1
Population in severe food insecurity (number) [2.1.2],18,1
"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",1,1
Prevalence of moderate or severe food insecurity in the population [2.1.2],18,1
Prevalence of severe food insecurity in the population [2.1.2],18,1
Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],1,1
Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],1,1
Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],11,1
Proportion of bodies of water with good ambient water quality [6.3.2],1,1
Proportion of children engaged in economic activity [8.7.1],3,1
Proportion of children engaged in economic activity and household chores [8.7.1],3,1
Proportion of children moderately or severely overweight [2.2.2],21,1
Proportion of children moderately or severely stunted [2.2.1],21,1
Proportion of children moderately or severely wasted [2.2.2],6,1
Proportion of children/households receiving child/family cash benefit [1.3.1],1,1
Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],1,1
Proportion of employed population covered in the event of work injury [1.3.1],3,1
Proportion of forest area with a long-term management plan [15.2.1],1,1
Proportion of forest area within legally established protected areas [15.2.1],1,1
"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",3,3
"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",102,2
Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],2,1
Proportion of people with secure tenure rights to land out of total adult population [1.4.2],2,1
Proportion of population above statutory pensionable age receiving a pension [1.3.1],1,1
Proportion of population below international poverty line [1.1.1],10,1
Proportion of population covered by at least a 2G mobile network [9.c.1],3,1
Proportion of population covered by at least a 3G mobile network [9.c.1],2,1
Proportion of population covered by at least a 4G mobile network [9.c.1],2,1
Proportion of population covered by at least one social protection benefit [1.3.1],1,1
Proportion of population covered by labour market programs [1.3.1],2,1
Proportion of population covered by social assistance programs [1.3.1],2,1
Proportion of population covered by social insurance programs [1.3.1],2,1
Proportion of population practicing open defecation [6.2.1],4,1
Proportion of population using basic drinking water services [1.4.1],3,1
Proportion of population using basic sanitation services [1.4.1],3,1
Proportion of population using safely managed sanitation services [6.2.1],3,1
Proportion of population with basic handwashing facilities on premises [6.2.1],3,1
Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],1,1
Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],1,1
Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],1,1
Proportion of project objectives in new development interventions drawn from country-led result frameworks - data by recipient [17.15.1],1,1
Proportion of results indicators drawn from country-led results frameworks - data by recipient (%) [17.15.1],1,1
Proportion of results indicators which will be monitored using government sources and monitoring systems - data by recipient (%) [17.15.1],1,1
Proportion of river water bodies with good ambient water quality [6.3.2],1,1
Proportion of safely treated domestic wastewater flows [6.3.1],1,1
"Proportion of schools with access to access to single-sex basic sanitation, by education level [4.a.1]",3,1
Proportion of schools with access to adapted infrastructure and materials for students with disabilities [4.a.1],3,1
"Proportion of schools with access to basic drinking water, by education level [4.a.1]",3,1
"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]",4,1
"Proportion of schools with access to electricity, by education level [4.a.1]",5,1
"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]",4,1
"Proportion of schools with basic handwashing facilities, by education level [4.a.1]",3,1
Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],3,1
Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],1,1
"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",1,1
Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],1,1
Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],1,1
Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1],3,1
Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],3,1
"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",102,2
Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],1,1
Proportion of wastewater treated [6.3.1],1,1
Proportion of women aged 15-49 years with anaemia [2.2.3],20,1
"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",20,1
"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",20,1
Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],1,1
Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],1,1
Proportion of women in managerial positions [5.5.2],3,1
Proportion of women in senior and middle management positions [5.5.2],2,1
Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1],3,1
Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1],3,1
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1],3,1
"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",3,1
Protected marine area (Exclusive Economic Zones) (square kilometres) [14.5.1],1,1
"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",2,1
"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",2,1
"Recipient countries of global funding with access to any funding from global financial mechanisms for projects related to invasive alien species  management (1 = YES, 0 = NO) [15.8.1]",1,1
Reservoir maximum water area (% of total land area) [6.6.1],1,1
Reservoir maximum water area (square kilometres) [6.6.1],1,1
Reservoir minimum water area (% of total land area) [6.6.1],1,1
Reservoir minimum water area (square kilometres) [6.6.1],1,1
"(S.1) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 1: Maternity Care [5.6.2]",1,1
"(S.1.C.1) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 1: Maternity Care [5.6.2]",1,1
"(S.1.C.2) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 2: Life Saving Commodities [5.6.2]",1,1
"(S.1.C.3) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 3: Abortion [5.6.2]",1,1
"(S.1.C.4) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 4: Post-Abortion Care [5.6.2]",1,1
"(S.2) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 2: Contraceptive and Family Planning [5.6.2]",1,1
"(S.2.C.5) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 5: Contraceptive Services [5.6.2]",1,1
"(S.2.C.6) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 6: Contraceptive Consent [5.6.2]",1,1
"(S.2.C.7) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 7: Emergency Contraception [5.6.2]",1,1
"(S.3) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 3: Sexuality Education [5.6.2]",1,1
"(S.3.C.8) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 8: Sexuality Education Curriculum Laws [5.6.2]",1,1
"(S.3.C.9) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 9: Sexuality Education Curriculum Topi [5.6.2]",1,1
"(S.4) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 4: HIV and HPV [5.6.2]",1,1
"(S.4.C.10) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 10: HIV Counselling and Test Services [5.6.2]",1,1
"(S.4.C.11) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 11: HIV Treatment and Care Services [5.6.2]",1,1
"(S.4.C.12) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 12: HIV Confidentiality [5.6.2]",1,1
"(S.4.C.13) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 13: HPV Vaccine [5.6.2]",1,1
"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]",1,1
Suicide mortality rate [3.4.2],15,1
Tax revenue as a proportion of GDP (%) [17.13.1],1,1
Total government revenue as a proportion of GDP [17.1.1],1,1
"Total government revenue, in local currency [17.1.1]",1,1
"Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]",2,1
"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",1,1
"Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]",1,1
"Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]",1,1
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],1,1
Total reserves in months of imports (ratio) [17.13.1],1,1
"Total waste generation, by activity (Tonnes) [12.4.2]",8,1
Total wastewater generated (million m3/year) [6.3.1],5,1
Total wastewater treated (million m3/year) [6.3.1],1,1
Under-five deaths (number) [3.2.1],3,1
Under-five mortality rate [3.2.1],3,1
Unemployment rate [8.5.2],36,1
"Unemployment rate, by disability [8.5.2]",18,1
Wetlands area (% of total land area) [6.6.1],1,1
Wetlands area (square kilometres) [6.6.1],1,1
"Worldwide weighted tariff-average, most-favoured-nation status [17.10.1]",7,1
"Worldwide weighted tariff-average, preferential status [17.10.1]",8,1
