Year,COMMENT_OBS,SDG Series,Sex,Observation-level footnotes,Value
2011,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,Fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,3.1
2012,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,Fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,1.6
2005,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,6.8
2006,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,8.8
2007,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,7.4
2011,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,Fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,9.8
2012,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,Fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Time period for occurrence of death: Deaths occurring within 1 year,11.5
2000,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,1225.4
2001,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,1392.0
2002,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,703.3
2003,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,1251.0
2004,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,746.8
2005,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,634.9
2006,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,779.5
2007,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,555.8
2011,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,391.1
2012,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,Non-fatal occupational injuries among employees (rate) [8.8.1],,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,480.1
2004,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,297.7
2005,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,235.9
2006,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,349.7
2007,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,222.1
2011,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,172.0
2012,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,Non-fatal occupational injuries among employees (rate) [8.8.1],Female,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,250.7
2004,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,838.8
2005,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,716.9
2006,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,873.1
2007,Data reference period: Noncalendar year | Coverage of occupational injuries: Reported injuries | Type of rate: Incidence rate (per 100'000 persons insured),Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,631.1
2011,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,444.3
2012,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,Non-fatal occupational injuries among employees (rate) [8.8.1],Male,Data reference period: End of the year | Coverage of occupational injuries: Compensated injuries | Type of cases of occupational injuries: Cases of occupational injury | Minimum period of absence from work: No minimum period of absence,537.3
