Year,SDG Series,Degree of urbanisation,Value
2016,Proportion of population using basic sanitation services [1.4.1],Rural,33
2017,Proportion of population using basic sanitation services [1.4.1],Rural,33
2018,Proportion of population using basic sanitation services [1.4.1],Rural,32
2019,Proportion of population using basic sanitation services [1.4.1],Rural,32
2020,Proportion of population using basic sanitation services [1.4.1],Rural,32
2000,Proportion of population using basic sanitation services [1.4.1],Urban,63
2001,Proportion of population using basic sanitation services [1.4.1],Urban,63
2002,Proportion of population using basic sanitation services [1.4.1],Urban,63
2003,Proportion of population using basic sanitation services [1.4.1],Urban,63
2004,Proportion of population using basic sanitation services [1.4.1],Urban,63
2005,Proportion of population using basic sanitation services [1.4.1],Urban,62
2006,Proportion of population using basic sanitation services [1.4.1],Urban,61
2007,Proportion of population using basic sanitation services [1.4.1],Urban,60
2008,Proportion of population using basic sanitation services [1.4.1],Urban,58
2009,Proportion of population using basic sanitation services [1.4.1],Urban,57
2010,Proportion of population using basic sanitation services [1.4.1],Urban,56
2011,Proportion of population using basic sanitation services [1.4.1],Urban,54
2012,Proportion of population using basic sanitation services [1.4.1],Urban,53
2013,Proportion of population using basic sanitation services [1.4.1],Urban,51
2014,Proportion of population using basic sanitation services [1.4.1],Urban,50
2015,Proportion of population using basic sanitation services [1.4.1],Urban,49
2016,Proportion of population using basic sanitation services [1.4.1],Urban,47
2017,Proportion of population using basic sanitation services [1.4.1],Urban,46
2018,Proportion of population using basic sanitation services [1.4.1],Urban,45
2019,Proportion of population using basic sanitation services [1.4.1],Urban,43
2020,Proportion of population using basic sanitation services [1.4.1],Urban,42
