Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Economic activity,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Incineration,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.60411
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste Treatment: Incineration to generate energy,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste Treatment: Incineration to generate energy,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.0
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Landfilling,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Landfilling,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.0
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]","Waste treatment: Landfilling, controlled",,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]","Waste treatment: Landfilling, controlled",,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Obs_Value = 0;  Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",0.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Other type of waste management,,Percent,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authorities, namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Dumpsites rather than landfills.","Data refer to 31 local authorities, namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Dumpsites rather than landfills.",93.20608
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",782977.661
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",732778.442
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,"Agriculture, forestry and fishing",Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Data from forestry companies not included.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Data from forestry companies not included.",1960.895
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,"Agriculture, forestry and fishing",Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Data from forestry companies not included.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane. Data from forestry companies not included.",2588.714
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Mining and quarrying,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",23.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Mining and quarrying,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",13.437
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Manufacturing,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",98247.581
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Manufacturing,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",53993.824
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,"Electricity, gas, steam and air conditioning supply",Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",6000.0
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,"Electricity, gas, steam and air conditioning supply",Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",6000.0
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Construction,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",1167.234
2017,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Construction,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",688.429
2016,UNSD/UNEP Questionnaire on Environment Statistics,"Total waste generation, by activity (Tonnes) [12.4.2]",,Other service activities,Metric Tons,UNSD/UNEP Questionnaire on Environment Statistics,"Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.","Data refer to 31 local authourities,namely : Beitbridge, Bindura, Bulawayo, Chegutu, Chinhoyi, Chiredzi, Chirundu, Chitungwiza, Epworth, Gokwe, Gutu, Gwanda, Gweru, Harare, Hwange, Kadoma, Kariba, Karoi, Kwekwe, Masvingo, Mutare, Mvurwi, Nyanga, Plumtree, Redcliff, Rusape, Ruwa, Shurugwi, Triangle, Victoria Falls, Zvishavane.",192237.015
