Year,SDG Series,Type of product,Unit of measure,COMMENT_OBS,Observation-level footnotes,BASE_PER,Base period,Value
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.3991
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.6531
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.62432
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.74453
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.64757
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.36685
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.25921
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.22873
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.21839
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.19683
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,,,,2.11337
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.56933
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.63091
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.50361
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.60856
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.71527
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.5265
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.6715
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.53939
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.42125
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.45688
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.51177
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.50272
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.55989
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.52747
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.50062
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.45607
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.47629
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.44116
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.40775
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,,,,0.36573
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.8068
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.81404
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.46347
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.63662
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,1.04092
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.64246
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.87873
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.69909
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.39558
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.40666
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.53461
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.48486
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.55975
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.5026
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.49397
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.35908
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.33052
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.378
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.37938
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,,,,0.3499
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.1866
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.20917
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.10642
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.05802
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.0249
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.0253
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.98536
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.9924
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.97602
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.04275
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.11344
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.14766
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.14002
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,1.13093
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.88985
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.96703
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.94814
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.93108
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.94343
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,,,,0.9376
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.50849
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.51121
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.51016
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.50487
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.50298
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.49784
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.50703
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.50318
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.49593
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.49162
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.49109
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.48673
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.48221
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.48411
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.48
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.4742
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.47056
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.46496
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.46419
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,,,,0.45804
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00215
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00128
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00101
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00088
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00104
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00098
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00139
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00104
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00117
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.0012
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.0022
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00234
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00266
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00246
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00241
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00283
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00322
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00319
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.00207
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,,,,0.0021
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.99432
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.94571
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.98893
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.97813
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.28323
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.05404
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.93898
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.76802
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.61105
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.68532
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,0.70439
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.2639
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.26904
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.44444
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.49295
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.59639
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.80194
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,1.83495
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,2.0947
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,,,,2.1749
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.026
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.01735
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,-0.03131
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.01973
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,-0.00782
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,-0.00291
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.0052
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00162
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00154
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00176
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,-0.0082
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00359
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,0.00273
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,-0.00238
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,,,,-0.01042
