Year,SDG Series,Type of product,Observation-level footnotes,COMMENT_OBS,Value
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54657
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54657
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,,0.54662
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,11.80342
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.5858
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.48706
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.47015
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.47228
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.46639
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.47279
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.40022
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.39913
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.23712
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.40624
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.40624
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,,10.40584
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,2.1214
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,2.07651
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.69527
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.69604
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.71172
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.70852
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.70991
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.71787
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.71687
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.51196
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.7325
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.73144
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,,1.73149
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,7.47543
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.84174
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.70259
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.69523
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.68977
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.68177
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.67422
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.65434
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.66303
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.53132
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.59601
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.66453
2020,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,,6.63497
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,4.04037
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,4.13765
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,3.33531
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.81704
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.50619
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.50362
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.50571
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.49566
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.49436
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.5128
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.48136
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.63056
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,,2.63068
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,12.41243
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,11.89015
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,7.92227
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,7.70165
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.04793
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.05302
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.05192
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.05
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.04786
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.1016
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.03941
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.94088
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,,6.94313
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.00529
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,Obs_Value = 0;  ,0.0
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,Obs_Value = 0;  ,,0.47346
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,7.02859
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.91863
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.81439
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.816
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.81813
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.8127
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.81991
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.74734
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.74679
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.5848
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.75313
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.75314
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,,6.75294
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.16672
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.45409
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.95578
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.251
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26178
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26052
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26196
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26034
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26021
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.25311
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26101
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.261
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,,0.26121
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.43131
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.15998
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.06177
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.04964
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.04372
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.03629
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.02882
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.00898
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,4.01942
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.88812
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.92714
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.99572
2020,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,,3.9816
