Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Unit of measure,Unit multiplier,Observation-level footnotes,Upper bound value,Lower bound value,Value
2014,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",29.7,26.7,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,28.2
2015,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",28.4,25.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,26.8
2016,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",27.5,24.1,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,25.8
2017,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",26.9,23.1,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,24.9
2018,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",26.4,22.2,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,24.2
2019,0,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.9,21.3,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,23.5
2020,0,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,Proportion of children moderately or severely stunted [2.2.1],Percent,Units,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.  Figure is a modelled estimate. For primary sources, please refer to the metadata.",25.6,20.6,23.0
2000,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",588.5,508.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,547.8
2001,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",603.1,525,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,563.4
2002,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",616.4,539.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,577.5
2003,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",628,552.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,589.8
2004,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",639.3,564.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,601.2
2005,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",651.5,575.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,613.1
2006,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",662.5,586,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,623.7
2007,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",673.1,596.3,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,634.1
2008,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",688.2,611.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,649.4
2009,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",701.8,626.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,663.6
2010,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",710.9,637.6,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,673.7
2011,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",713.6,642.8,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,677.7
2012,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",704.5,636.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,669.9
2013,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",685.8,618.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,651.8
2014,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",664.9,596.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,630.3
2015,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",642.4,570.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,605.9
2016,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",627.2,549.2,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,587.4
2017,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",605.2,520.5,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,561.8
2018,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",578.9,487.7,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,532.0
2019,3,"Figure is a modelled estimate. For primary sources, please refer to the metadata.",553.3,455.9,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,503.0
2020,3,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,Children moderately or severely stunted (number) [2.2.1],Number,Thousands,"The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account. , Figure is a modelled estimate. For primary sources, please refer to the metadata.",536.6,432.4,482.5
