Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",121.69095
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, gross disbursement, by recipient countries [3.b.2]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",162.88318
2010,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",90.53607
2011,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",59.81381
2012,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",119.01685
2013,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",87.69421
2014,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",65.98808
2015,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",127.01686
2016,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",84.10712
2017,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",156.47577
2018,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",114.16963
2019,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",119.27846
2020,"Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]","Net Disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",162.13828
