Year,SDG Series,Sex,Occupation,Unit of measure,Value
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",13.83
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",14.0
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",25.97
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",19.35
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing and midwifery personnel,"Per 10,000 population",21.39
2007,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.16
2008,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.15
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.15
2011,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.2
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.18
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.18
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.08
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.05
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.1
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.08
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.07
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.17
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 10,000 population",0.16
2004,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.5
2009,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.54
2010,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.04
2012,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.29
2013,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.3
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.14
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.1
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.16
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.19
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",0.97
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 10,000 population",1.08
2012,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,32.48
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,36.99
2018,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Medical doctors,Percent,28.15
2012,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,79.18
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,61.89
2017,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,77.25
2018,"Health worker distribution, by sex and type of occupation [3.c.1]",Female,Nursing and midwifery personnel,Percent,76.0
2012,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,67.52
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,63.01
2018,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Medical doctors,Percent,71.85
2012,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,20.83
2015,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,38.11
2017,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,22.75
2018,"Health worker distribution, by sex and type of occupation [3.c.1]",Male,Nursing and midwifery personnel,Percent,24.0
