Year,COMMENT_OBS,SDG Series,Sex,Age,Composite breakdown,Unit of measure,Observation-level footnotes,Value
2021,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Defence,Number,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Defence,Number,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Finance,Number,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Finance,Number,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Foreign Affairs,Number,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year",0.0
2022,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Not available,Not available,Parliamentary committee: Foreign Affairs,Number,"Obs_Value = 0;  Bicameral: Upper chamber (Senate), No Committee, Data valid as of 1 Jan of given year",0.0
2021,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Female,Unknown,Parliamentary committee: Gender Equality,Number,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Female,Unknown,Parliamentary committee: Gender Equality,Number,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,Unknown,Parliamentary committee: Human Rights,Number,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year","Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",Male,Unknown,Parliamentary committee: Human Rights,Number,"Bicameral: Upper chamber (Senate), No Age Data, Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no re","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,,,Ratio,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.57721
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",,,,Ratio,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.5539
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representatio","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,,,Ratio,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.77627
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ","Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,,,Ratio,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year; 2020 population figures used from United Nations Population Division, World Population Prospects to calculate ratios; The ratio can be interpreted as follows:  
-	0 means no representation at all of women in parliament 
-	1 means perfectly proportional representation of women  in parliament 
-	<1 means under-representation of women in parliament 
-	>1 means over-representation of women in parliament ",0.78347
2021,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",Male,46 years old and over,,Number,"Bicameral: Lower chamber (National Assembly), Data valid as of 1 Jan of given year",1.0
2021,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",Female,46 years old and over,,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year",1.0
2022,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year","Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",Female,46 years old and over,,Number,"Bicameral: Upper chamber (Senate), Data valid as of 1 Jan of given year",1.0
