Year,SDG Series,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Value
2017,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,59.2275
2021,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider [8.10.2],Male,15 years old and over,,,,65.86172
2011,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,48.41713
2014,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,37.38821
2017,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,58.79443
2021,Proportion of adults (15 years and older) active in labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,66.38574
2011,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,21.75096
2014,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,25.77954
2017,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,47.47882
2021,Proportion of adults (15 years and older) out of labor force with an account at a financial institution or mobile-money-service provider [8.10.2],,15 years old and over,,,,48.43113
