Year,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SDG Series,Sex,Age,Unit of measure,Unit multiplier,Upper bound value,Lower bound value,Value
2016,3,The observation represents the 3-year average of the period 2015-2017.,2513.6,2175.5,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2637.5,2270.7,2344.6
2017,3,The observation represents the 3-year average of the period 2016-2018.,2548.3,2183.8,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2637.5,2270.7,2366.0
2018,3,The observation represents the 3-year average of the period 2017-2019.,2601.4,2208.3,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2637.5,2270.7,2404.9
2019,3,The observation represents the 3-year average of the period 2018-2020.,2615.7,2226.9,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2637.5,2270.7,2421.3
2020,3,The observation represents the 3-year average of the period 2019-2021.,2637.5,2270.7,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,2637.5,2270.7,2454.1
2015,0,The observation represents the 3-year average of the period 2014-2016.,38.7,32.2,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,35.1,27.5,35.5
2016,0,The observation represents the 3-year average of the period 2015-2017.,39.6,33.8,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,35.1,27.5,36.7
2017,0,The observation represents the 3-year average of the period 2016-2018.,39.1,32.7,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,35.1,27.5,35.9
2018,0,The observation represents the 3-year average of the period 2017-2019.,37.6,30.8,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,35.1,27.5,34.2
2019,0,The observation represents the 3-year average of the period 2018-2020.,35.9,28.4,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,35.1,27.5,32.1
2020,0,The observation represents the 3-year average of the period 2019-2021.,35.1,27.5,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,Units,35.1,27.5,31.3
2015,0,The observation represents the 3-year average of the period 2014-2016.,37.5,29.9,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,34,26.1,33.7
2016,0,The observation represents the 3-year average of the period 2015-2017.,38.8,31.7,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,34,26.1,35.2
2017,0,The observation represents the 3-year average of the period 2016-2018.,38.3,30.9,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,34,26.1,34.6
2018,0,The observation represents the 3-year average of the period 2017-2019.,37.2,29.7,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,34,26.1,33.4
2019,0,The observation represents the 3-year average of the period 2018-2020.,34.9,27,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,34,26.1,31.0
2020,0,The observation represents the 3-year average of the period 2019-2021.,34,26.1,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,Units,34,26.1,30.1
2015,0,The observation represents the 3-year average of the period 2014-2016.,36.9,28.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,30.9,22.9,32.6
2016,0,The observation represents the 3-year average of the period 2015-2017.,37.7,29.6,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,30.9,22.9,33.6
2017,0,The observation represents the 3-year average of the period 2016-2018.,36.6,27.9,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,30.9,22.9,32.3
2018,0,The observation represents the 3-year average of the period 2017-2019.,34.9,25.7,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,30.9,22.9,30.3
2019,0,The observation represents the 3-year average of the period 2018-2020.,32.5,23.7,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,30.9,22.9,28.1
2020,0,The observation represents the 3-year average of the period 2019-2021.,30.9,22.9,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,Units,30.9,22.9,26.9
2015,3,The observation represents the 3-year average of the period 2014-2016.,5348.8,4449.4,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,5219.4,4095.6,4899.1
2016,3,The observation represents the 3-year average of the period 2015-2017.,5561.5,4738.8,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,5219.4,4095.6,5150.2
2017,3,The observation represents the 3-year average of the period 2016-2018.,5562.2,4660.4,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,5219.4,4095.6,5111.3
2018,3,The observation represents the 3-year average of the period 2017-2019.,5429.7,4443.6,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,5219.4,4095.6,4936.7
2019,3,The observation represents the 3-year average of the period 2018-2020.,5256.9,4155.8,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,5219.4,4095.6,4706.4
2020,3,The observation represents the 3-year average of the period 2019-2021.,5219.4,4095.6,Population in severe food insecurity (number) [2.1.2],,,Number,Thousands,5219.4,4095.6,4657.5
2015,3,The observation represents the 3-year average of the period 2014-2016.,1617.9,1291.1,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,1591.2,1222.7,1454.5
2016,3,The observation represents the 3-year average of the period 2015-2017.,1696.9,1385.1,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,1591.2,1222.7,1541.0
2017,3,The observation represents the 3-year average of the period 2016-2018.,1699.8,1372.9,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,1591.2,1222.7,1536.3
2018,3,The observation represents the 3-year average of the period 2017-2019.,1678,1337.6,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,1591.2,1222.7,1507.8
2019,3,The observation represents the 3-year average of the period 2018-2020.,1602.5,1239.9,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,1591.2,1222.7,1421.2
2020,3,The observation represents the 3-year average of the period 2019-2021.,1591.2,1222.7,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,Thousands,1591.2,1222.7,1407.0
2015,3,The observation represents the 3-year average of the period 2014-2016.,1338.5,1022.2,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1227.6,912.3,1180.3
2016,3,The observation represents the 3-year average of the period 2015-2017.,1387.9,1086.9,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1227.6,912.3,1237.4
2017,3,The observation represents the 3-year average of the period 2016-2018.,1370.8,1044.3,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1227.6,912.3,1207.5
2018,3,The observation represents the 3-year average of the period 2017-2019.,1328.3,980.1,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1227.6,912.3,1154.2
2019,3,The observation represents the 3-year average of the period 2018-2020.,1264.3,922.1,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1227.6,912.3,1093.2
2020,3,The observation represents the 3-year average of the period 2019-2021.,1227.6,912.3,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,Thousands,1227.6,912.3,1070.0
