Year,COMMENT_OBS,SDG Series,Sex,Age,Disability status,Value
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,Unemployment rate [8.5.2],Male,15 to 24 years old,,25.0
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",,,,4.8
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",,,,16.9
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",,,Persons with disability,3.1
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",,,Persons with disability,15.5
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",,,Persons without disability,5.1
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",,,Persons without disability,17.1
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",Female,,,5.2
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",Female,,,17.9
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",Female,,Persons with disability,2.9
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",Female,,Persons with disability,17.0
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",Female,,Persons without disability,5.6
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",Female,,Persons without disability,18.0
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",Male,,,4.4
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",Male,,,16.0
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",Male,,Persons with disability,3.4
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",Male,,Persons with disability,14.1
2014,Repository: ILO-STATISTICS - Micro data processing,"Unemployment rate, by disability [8.5.2]",Male,,Persons without disability,4.5
2019,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Break in series: Methodology revised,"Unemployment rate, by disability [8.5.2]",Male,,Persons without disability,16.3
