Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2016,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",56.50481
2017,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",83.54832
2018,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",99.98541
2019,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",22.08642
2020,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",48.10478
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",7.10489
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",17.34516
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",8.83534
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",49.48016
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",78.77104
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",86.65403
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",85.96096
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",86.46152
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",69.87848
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",62.16167
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",68.67819
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",57.32416
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",47.78398
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",67.52643
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (disbursement) for Aid for Trade, by recipient countries [8.a.1]","Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",50.56973
